Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-test/sci.space/61458
Truth category: 2 (sci.space)
Assigned cluster: 0 (space orbit like use launch know moon think time shuttl)

Raw data:
============ START RAW ==========================
From: henry@zoo.toronto.edu (Henry Spencer)
Subject: Re: What planets are habitable
Organization: U of Toronto Zoology
Lines: 18

In article <1rpt1v$q5h@hsc.usc.edu> khayash@hsc.usc.edu (Ken Hayashida) writes:
>As for human tolerances, the best example of human endurance in terms
>of altitude (i.e. low atmospheric pressure and lower oxygen partial pressure)
>is in my opinion to the scaling of Mt. Everest without oxygen assistance...
>... This is quite a feat of physiological endurance...

Indeed so; it's at the extreme limit of what is humanly possible.  It is
possible only because Mount Everest is at a fairly low latitude:  there
is a slight equatorial bulge in the atmosphere -- beyond what is induced
by the Earth's rotation -- thanks to the overall circulation pattern of
the atmosphere (air cools at poles and descends, flowing back to equator
where it is warmed and rises), and this helps just enough to make Everest-
without-oxygen feasible.  Only just feasible, mind you:  the guys who did
it reported hallucinations and other indications of oxygen starvation,
and probably incurred some permanent brain damage.
-- 
SVR4 resembles a high-speed collision   | Henry Spencer @ U of Toronto Zoology
between SVR3 and SunOS.    - Dick Dunn  |  henry@zoo.toronto.edu  utzoo!henry

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 planet habit     human toler best exampl human
endur term altitud low atmospher pressur lower
oxygen partial pressur opinion scale everest
without oxygen assist quit feat physiolog endur
inde it extrem limit human possibl possibl mount
everest fair low latitud slight equatori bulg
atmospher beyond induc earth rotat thank overal
circul pattern atmospher air cool pole descend
flow back equat warm rise help enough make everest
without oxygen feasibl feasibl mind guy report
hallucin indic oxygen starvat probabl incur perman
brain damag  svr4 resembl high speed collis henri
spencer toronto zoolog
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
oxygen, 6363, 0.397154233988
everest, 3234, 0.37157169318
atmospher, 755, 0.244614935353
endur, 3099, 0.238074159367
feasibl, 3419, 0.201259369414
human, 4432, 0.194071977673
pressur, 6842, 0.165870763458
low, 5368, 0.138107892546
starvat, 8339, 0.126912052987
hallucin, 4131, 0.12385723106
bulg, 1382, 0.12385723106
induc, 4606, 0.119037079684
circul, 1767, 0.119037079684
feat, 3421, 0.11706360926
equatori, 3158, 0.11706360926
physiolog, 6616, 0.113701345075
possibl, 6765, 0.109866552453
latitud, 5144, 0.10850465801
pole, 6717, 0.102867020946
flow, 3555, 0.0999457067609
warm, 9639, 0.0986562142833
descend, 2554, 0.0958095333307
perman, 6550, 0.0952939500982
partial, 6439, 0.0947937597311
mount, 5886, 0.0943080696964
svr4, 8616, 0.0933769894513
rise, 7414, 0.0929301594254
pattern, 6468, 0.0929301594254
cool, 2124, 0.0924949366968
collis, 1903, 0.0924949366968
damag, 2344, 0.0908589911565
habit, 4109, 0.0904737987218
toler, 8974, 0.0900972630338
altitud, 452, 0.0900972630338
resembl, 7308, 0.0893686642012
overal, 6337, 0.0890159115306
equat, 3157, 0.088000137931
brain, 1266, 0.0852771116575
zoolog, 9993, 0.0841957601543
assist, 705, 0.0836801769217
slight, 8034, 0.0829353817291
extrem, 3333, 0.0829353817291
spencer, 8221, 0.0808811635203
lower, 5371, 0.0802488193067
inde, 4594, 0.0798401372664
air, 357, 0.0788600255453
scale, 7659, 0.0781152303528
rotat, 7490, 0.0777548910247
planet, 6664, 0.0767181604079
henri, 4258, 0.076222898746
limit, 5278, 0.0732496104737
indic, 4600, 0.0729793605348
fair, 3363, 0.0709612692245
toronto, 9003, 0.0699245386078
term, 8795, 0.0688431871046
speed, 8217, 0.0681257323581
report, 7291, 0.0666845752063
mind, 5733, 0.065272781945
guy, 4100, 0.0629089912723
opinion, 6266, 0.0627626573031
quit, 7043, 0.0613655873583
exampl, 3258, 0.0607730061606
earth, 2956, 0.058366709166
high, 4292, 0.0566631343392
best, 1052, 0.056017671627
probabl, 6885, 0.0547968700487
help, 4249, 0.0492240498269
thank, 8832, 0.0469218967453
make, 5459, 0.0420240934656
